Crop,Storage_Type,Max_Shelf_Life_Days,Optimal_Temp_C,Optimal_Humidity_%
Banana,Dry Storage,134,15.0,93.9
Tomato,Ambient,59,5.0,73.2
Rice,Ambient,99,3.0,55.2
Potato,Cold Storage,57,12.6,62.8
Wheat,Cold Storage,42,11.4,68.8
Banana,Dry Storage,70,4.1,57.4
Banana,Cold Storage,43,24.9,66.8
Grapes,Cold Storage,138,19.5,59.4
Rice,Dry Storage,150,16.5,75.9
Apple,Ambient,127,13.2,49.3
Groundnut,Cold Storage,98,7.9,67.0
Potato,Dry Storage,54,13.0,83.9
Mango,Cold Storage,139,3.9,79.8
Onion,Ambient,91,8.9,91.6
Onion,Cold Storage,97,6.9,42.9
Grapes,Ambient,18,11.1,69.5
Cotton,Dry Storage,61,16.6,89.0
Potato,Cold Storage,90,19.0,81.0
Apple,Dry Storage,107,19.0,46.0
Potato,Ambient,55,2.3,66.6
Chilli,Ambient,141,11.2,64.4
Groundnut,Cold Storage,169,8.4,51.8
Cotton,Dry Storage,64,12.2,92.8
Rice,Dry Storage,81,17.5,89.3
Rice,Ambient,161,24.6,89.7
Groundnut,Cold Storage,61,2.5,63.6
Apple,Cold Storage,128,11.0,66.4
Mango,Dry Storage,159,23.9,51.4
Chilli,Ambient,101,13.1,56.7
Pulses,Ambient,109,17.5,73.3
Potato,Dry Storage,80,23.5,56.1
Banana,Ambient,74,19.5,44.1
Banana,Ambient,77,7.0,77.5
Groundnut,Cold Storage,32,2.2,63.7
Apple,Cold Storage,52,18.0,59.5
Sugarcane,Ambient,21,14.6,57.1
Mango,Cold Storage,75,21.3,84.4
Maize,Dry Storage,35,18.5,85.6
Rice,Dry Storage,44,8.9,43.8
Rice,Dry Storage,54,23.5,62.1
Tomato,Dry Storage,111,23.9,41.9
Cotton,Dry Storage,24,24.6,47.6
Onion,Dry Storage,111,13.9,65.3
Onion,Ambient,38,11.6,65.3
Chilli,Cold Storage,150,4.2,49.1
Apple,Cold Storage,175,2.0,85.3
Potato,Cold Storage,40,4.9,56.6
Grapes,Cold Storage,151,19.1,62.0
Sugarcane,Dry Storage,136,2.1,83.2
Grapes,Dry Storage,31,5.0,80.5
Onion,Ambient,40,18.0,74.7
Apple,Ambient,148,24.1,77.9
Banana,Dry Storage,39,9.8,51.0
Mango,Dry Storage,158,4.4,66.6
Onion,Ambient,52,23.6,48.9
Potato,Cold Storage,110,5.3,58.6
Groundnut,Ambient,111,17.0,79.9
Banana,Cold Storage,115,12.7,53.1
Cotton,Cold Storage,5,3.0,43.0
Banana,Cold Storage,80,13.6,77.6
Maize,Dry Storage,178,2.6,84.4
Pulses,Cold Storage,48,11.3,68.4
Sugarcane,Cold Storage,166,18.4,54.4
Banana,Dry Storage,116,14.3,87.6
Tomato,Cold Storage,40,9.7,87.2
Groundnut,Dry Storage,114,6.6,53.4
Cotton,Ambient,26,21.8,93.2
Cotton,Cold Storage,145,9.2,90.8
Pulses,Ambient,112,9.7,64.0
Banana,Dry Storage,131,13.8,60.0
Apple,Cold Storage,7,17.9,40.2
Mango,Ambient,76,3.1,77.7
Cotton,Cold Storage,37,12.4,41.4
Chilli,Cold Storage,112,11.3,77.3
Banana,Ambient,130,11.5,78.7
Onion,Cold Storage,89,22.1,70.3
Rice,Ambient,59,21.4,70.1
Onion,Cold Storage,45,18.7,75.8
Maize,Dry Storage,53,11.7,43.1
Mango,Cold Storage,173,17.4,51.4
Maize,Dry Storage,109,17.1,47.7
Sugarcane,Cold Storage,87,22.0,78.2
Tomato,Ambient,37,19.7,73.9
Groundnut,Cold Storage,69,3.9,79.6
Potato,Dry Storage,137,24.9,47.8
Chilli,Dry Storage,140,4.4,86.4
Wheat,Cold Storage,6,23.6,76.8
Groundnut,Cold Storage,110,18.3,81.1
Wheat,Dry Storage,27,11.7,87.3
Rice,Cold Storage,94,24.5,45.9
Cotton,Cold Storage,25,6.6,66.5
Banana,Dry Storage,26,19.9,75.5
Maize,Dry Storage,9,15.8,92.1
Onion,Ambient,21,23.9,51.6
Mango,Ambient,163,19.9,44.0
Apple,Dry Storage,76,5.3,68.7
Cotton,Cold Storage,143,23.0,61.7
Tomato,Ambient,54,19.7,63.9
Cotton,Ambient,5,15.5,41.2
Apple,Ambient,13,9.7,49.0
Banana,Ambient,156,19.7,59.3
Potato,Ambient,50,10.7,94.7
Chilli,Cold Storage,91,13.1,86.6
Chilli,Dry Storage,48,11.2,48.5
Cotton,Ambient,50,2.4,66.8
Grapes,Dry Storage,81,21.3,85.8
Pulses,Cold Storage,44,24.9,41.1
Sugarcane,Cold Storage,46,7.1,47.7
Onion,Cold Storage,45,2.8,70.6
Grapes,Ambient,167,9.6,64.8
Potato,Cold Storage,160,17.0,92.4
Sugarcane,Ambient,120,20.4,48.1
Apple,Cold Storage,137,4.7,75.3
Rice,Cold Storage,177,23.3,89.7
Sugarcane,Ambient,11,4.8,47.1
Groundnut,Cold Storage,84,24.9,92.9
Grapes,Ambient,100,2.9,77.4
Pulses,Ambient,92,2.4,93.0
Banana,Ambient,69,20.4,59.2
Mango,Ambient,98,13.6,81.6
Potato,Ambient,99,19.4,89.7
Cotton,Ambient,60,17.4,55.2
Apple,Cold Storage,162,6.9,87.8
Tomato,Dry Storage,40,4.7,76.9
Maize,Dry Storage,161,9.1,77.2
Onion,Dry Storage,13,7.3,77.7
Grapes,Dry Storage,92,11.8,62.0
Tomato,Dry Storage,13,9.7,86.0
Groundnut,Ambient,123,4.5,57.5
Mango,Dry Storage,49,22.8,69.6
Rice,Ambient,136,6.2,89.8
Groundnut,Ambient,143,18.1,80.0
Rice,Dry Storage,8,24.7,58.2
Mango,Dry Storage,114,19.6,65.3
Grapes,Ambient,94,8.5,67.6
Groundnut,Cold Storage,57,5.8,41.0
Apple,Dry Storage,170,7.6,94.8
Banana,Ambient,67,21.7,87.5
Groundnut,Ambient,131,9.4,78.1
Apple,Cold Storage,41,23.7,78.4
Onion,Dry Storage,162,3.0,77.0
Rice,Dry Storage,143,5.6,87.0
Grapes,Ambient,40,2.2,41.9
Banana,Cold Storage,89,21.1,77.7
Chilli,Dry Storage,106,5.6,62.3
Banana,Ambient,53,10.0,75.0
Chilli,Dry Storage,18,24.1,53.8
Banana,Ambient,114,8.2,78.8
Potato,Dry Storage,57,16.8,74.3
