Crop,Season,Max_Shelf_Life_Days,Optimal_Temp_C,Optimal_Humidity_%
groundnut,Zaid,145,12.5,56.4
maize,Rabi,121,15.4,79.3
groundnut,Zaid,139,8.2,78.6
orange,Zaid,47,10.2,74.4
rice,Kharif,187,14.3,80.4
grapes,Rabi,20,20.8,82.4
mango,Zaid,10,24.2,55.4
banana,Kharif,7,11.0,63.2
sugarcane,Kharif,5,11.9,63.3
brinjal,Rabi,18,14.0,77.7
brinjal,Rabi,11,16.7,60.3
pulses,Zaid,203,23.1,58.5
potato,Zaid,84,12.3,79.6
chilli,Zaid,23,22.0,56.2
onion,Zaid,154,18.6,78.2
soybean,Zaid,134,20.1,88.4
mango,Zaid,19,9.6,76.8
wheat,Kharif,148,24.5,78.1
chilli,Kharif,17,16.2,89.9
pulses,Rabi,348,18.7,79.5
onion,Kharif,88,13.7,73.5
wheat,Kharif,175,8.3,59.0
mango,Zaid,16,9.7,68.0
pulses,Rabi,235,21.4,86.8
banana,Rabi,7,23.6,73.3
brinjal,Rabi,10,23.1,84.2
maize,Rabi,210,21.8,85.8
soybean,Kharif,109,9.0,77.6
wheat,Kharif,278,16.2,70.9
potato,Kharif,60,16.7,70.2
mango,Zaid,19,22.1,60.5
cabbage,Rabi,25,18.1,65.1
brinjal,Kharif,8,13.0,89.2
onion,Rabi,105,24.7,85.2
orange,Kharif,74,19.3,73.1
cotton,Zaid,471,24.8,88.5
tomato,Zaid,10,23.0,65.9
chilli,Rabi,38,13.0,64.8
wheat,Kharif,197,9.4,63.9
soybean,Rabi,98,9.8,83.7
tomato,Rabi,5,24.0,83.4
tomato,Kharif,8,10.7,55.4
brinjal,Rabi,18,20.6,86.9
sugarcane,Kharif,2,22.4,57.6
cauliflower,Zaid,17,15.8,60.9
cauliflower,Zaid,22,15.0,76.2
pulses,Rabi,238,14.4,57.7
orange,Zaid,81,11.0,66.7
tomato,Kharif,4,18.2,77.1
apple,Zaid,143,19.5,73.8
apple,Rabi,121,12.9,64.3
potato,Rabi,111,13.4,74.8
groundnut,Kharif,138,19.9,59.0
chilli,Zaid,20,13.7,72.1
soybean,Rabi,107,10.2,64.1
mango,Zaid,14,15.4,73.4
orange,Kharif,67,12.9,86.5
groundnut,Zaid,116,8.3,60.9
onion,Rabi,92,19.0,83.6
cauliflower,Zaid,12,9.4,87.7
brinjal,Zaid,12,17.0,86.0
cabbage,Zaid,24,13.3,87.4
apple,Rabi,71,18.3,78.3
orange,Rabi,70,23.2,74.5
pulses,Kharif,147,20.2,87.1
cabbage,Rabi,15,11.3,77.9
soybean,Rabi,150,14.8,77.0
maize,Kharif,197,16.2,70.3
cauliflower,Rabi,20,12.1,83.9
banana,Kharif,7,23.1,81.3
wheat,Zaid,207,20.0,66.8
chilli,Zaid,17,21.0,55.6
groundnut,Rabi,115,13.4,71.0
apple,Kharif,120,12.3,77.5
soybean,Zaid,115,14.8,67.9
brinjal,Rabi,19,14.6,85.3
cauliflower,Kharif,20,11.0,77.8
soybean,Zaid,96,17.2,73.6
groundnut,Zaid,194,8.8,64.6
rice,Kharif,251,20.2,87.9
onion,Zaid,83,15.6,70.5
sugarcane,Zaid,4,15.6,81.3
wheat,Rabi,268,9.4,89.9
orange,Kharif,64,11.0,83.1
pulses,Zaid,340,23.3,62.9
maize,Zaid,120,18.9,84.6
potato,Rabi,114,15.7,88.2
cauliflower,Kharif,13,15.7,88.2
chilli,Rabi,28,24.3,68.7
groundnut,Rabi,120,18.2,64.9
cabbage,Kharif,21,24.1,78.0
cotton,Rabi,328,24.8,68.9
potato,Zaid,56,23.9,82.7
orange,Zaid,65,12.2,77.7
cauliflower,Rabi,19,23.4,87.6
mango,Zaid,9,14.6,76.7
soybean,Zaid,144,17.0,66.3
orange,Kharif,74,24.7,63.9
cotton,Kharif,483,20.4,73.5
mango,Zaid,25,20.0,79.1
chilli,Rabi,18,15.0,64.9
groundnut,Kharif,209,20.4,68.8
sugarcane,Rabi,5,13.5,85.7
banana,Zaid,7,13.9,61.7
groundnut,Kharif,157,12.6,71.8
mango,Zaid,22,15.6,60.9
apple,Kharif,161,15.6,83.3
rice,Rabi,141,19.7,85.7
onion,Kharif,91,14.3,59.1
potato,Rabi,62,24.3,67.0
brinjal,Rabi,11,22.8,85.1
orange,Rabi,37,14.9,77.1
maize,Zaid,213,20.0,61.3
cotton,Rabi,470,20.8,87.2
mango,Zaid,16,9.3,69.1
potato,Kharif,98,19.7,83.1
brinjal,Zaid,13,10.1,65.6
onion,Zaid,117,9.6,69.0
cotton,Rabi,506,9.9,83.2
banana,Zaid,7,10.8,75.8
orange,Zaid,85,15.2,68.3
soybean,Rabi,155,25.0,85.5
tomato,Kharif,9,15.4,63.5
soybean,Kharif,79,13.5,62.2
chilli,Zaid,22,20.9,62.2
orange,Kharif,60,11.5,57.1
orange,Kharif,45,22.8,80.0
brinjal,Rabi,10,20.5,88.1
pulses,Rabi,212,22.3,76.9
cabbage,Zaid,13,12.0,59.1
banana,Zaid,7,21.4,85.7
cotton,Kharif,344,18.1,60.9
apple,Rabi,153,15.2,77.2
groundnut,Rabi,203,15.5,65.5
sugarcane,Zaid,2,16.2,75.8
soybean,Zaid,147,9.8,64.8
groundnut,Kharif,137,24.4,82.4
wheat,Kharif,249,12.2,55.9
maize,Kharif,121,14.9,78.3
mango,Zaid,11,15.2,83.2
banana,Zaid,7,17.4,84.1
wheat,Rabi,274,18.2,72.9
cauliflower,Kharif,12,10.3,80.5
grapes,Rabi,12,23.6,79.6
cotton,Zaid,344,18.7,56.1
pulses,Zaid,276,21.4,83.1
apple,Zaid,89,13.7,73.4
onion,Rabi,157,17.7,80.1
brinjal,Zaid,18,18.6,61.0
groundnut,Rabi,115,15.3,69.2
tomato,Rabi,6,11.2,76.3
tomato,Kharif,5,19.8,88.8
orange,Kharif,24,11.3,86.2
wheat,Zaid,180,21.5,88.2
cotton,Rabi,306,17.4,72.2
soybean,Rabi,160,21.5,62.0
rice,Rabi,266,17.0,78.0
apple,Kharif,135,11.2,78.4
mango,Zaid,21,22.2,76.3
chilli,Rabi,26,11.0,73.0
rice,Rabi,296,14.4,73.4
tomato,Zaid,7,17.3,77.8
banana,Rabi,7,10.4,89.7
groundnut,Rabi,238,21.1,86.3
cotton,Rabi,393,21.1,59.2
chilli,Kharif,30,16.8,67.6
rice,Zaid,279,19.3,81.8
rice,Rabi,258,16.3,87.3
tomato,Kharif,9,8.9,70.6
groundnut,Zaid,212,20.9,84.0
pulses,Rabi,294,15.7,71.6
banana,Rabi,7,8.7,82.2
orange,Kharif,53,15.7,70.3
maize,Zaid,221,21.2,73.6
sugarcane,Kharif,5,14.4,85.5
cotton,Zaid,272,19.9,61.9
apple,Zaid,133,17.3,60.7
chilli,Kharif,34,18.1,79.3
groundnut,Rabi,220,12.2,89.5
brinjal,Rabi,13,14.0,58.7
tomato,Zaid,5,13.7,81.6
chilli,Kharif,29,22.7,71.3
grapes,Kharif,7,22.8,76.1
apple,Rabi,119,18.1,57.4
wheat,Kharif,222,16.1,73.2
wheat,Kharif,192,13.8,64.5
cabbage,Zaid,26,15.7,63.7
brinjal,Kharif,17,13.2,59.2
soybean,Zaid,91,24.9,78.5
groundnut,Kharif,198,15.0,89.3
brinjal,Rabi,6,20.6,82.9
sugarcane,Kharif,4,8.4,74.9
orange,Zaid,74,16.9,63.7
soybean,Rabi,110,21.7,66.7
groundnut,Zaid,224,8.4,59.4
maize,Rabi,170,19.5,74.3
onion,Rabi,140,19.4,73.6
mango,Zaid,23,9.7,56.8
apple,Kharif,71,15.0,62.4
wheat,Rabi,306,19.3,81.4
brinjal,Rabi,12,15.2,89.2
maize,Kharif,184,24.1,69.4
soybean,Rabi,171,17.9,57.9
banana,Kharif,7,8.3,80.2
chilli,Rabi,29,24.6,75.1
sugarcane,Rabi,5,18.2,72.3
banana,Kharif,7,24.0,76.5
soybean,Rabi,138,23.7,67.4
apple,Rabi,89,23.8,77.9
apple,Rabi,167,10.6,66.7
cabbage,Kharif,21,21.9,64.2
tomato,Zaid,4,13.2,71.8
cauliflower,Kharif,8,24.9,56.9
banana,Zaid,7,22.4,69.9
wheat,Kharif,283,24.1,67.2
rice,Rabi,232,18.0,78.5
banana,Zaid,7,12.2,72.5
potato,Rabi,64,15.3,89.7
sugarcane,Rabi,7,17.4,61.7
rice,Zaid,155,11.4,66.0
groundnut,Rabi,222,15.5,55.9
cotton,Zaid,282,22.1,77.4
chilli,Zaid,27,20.5,71.4
grapes,Zaid,13,20.1,67.6
groundnut,Kharif,98,15.1,75.2
wheat,Zaid,199,11.8,84.9
groundnut,Rabi,231,9.2,67.3
groundnut,Kharif,183,12.2,71.2
chilli,Rabi,40,9.8,85.0
cotton,Kharif,395,21.1,77.2
cauliflower,Zaid,17,8.5,72.7
onion,Rabi,137,15.0,57.7
soybean,Zaid,101,13.0,59.7
potato,Kharif,57,16.8,64.9
tomato,Kharif,8,19.4,72.0
maize,Zaid,126,10.7,64.8
tomato,Kharif,8,8.7,69.1
apple,Zaid,90,15.0,89.5
brinjal,Zaid,15,18.5,82.5
brinjal,Zaid,11,12.0,59.5
wheat,Zaid,297,10.5,83.0
soybean,Kharif,112,16.5,58.9
apple,Rabi,62,15.7,84.0
wheat,Rabi,261,12.7,59.8
cabbage,Kharif,12,21.1,69.7
wheat,Rabi,207,21.2,56.3
soybean,Zaid,104,16.4,74.9
chilli,Rabi,38,17.5,64.7
tomato,Zaid,5,9.0,82.7
brinjal,Kharif,17,12.1,60.4
mango,Zaid,10,8.4,78.1
grapes,Rabi,9,15.4,80.0
pulses,Zaid,234,18.2,62.2
wheat,Rabi,233,11.1,84.4
mango,Zaid,24,15.5,58.6
rice,Zaid,231,16.4,55.9
chilli,Zaid,33,17.7,86.7
wheat,Rabi,183,12.1,60.1
grapes,Zaid,19,23.7,71.5
orange,Kharif,72,18.3,71.2
brinjal,Zaid,17,8.4,77.4
apple,Zaid,108,10.5,89.7
wheat,Rabi,309,21.4,70.5
sugarcane,Kharif,6,24.6,56.1
groundnut,Rabi,194,12.0,60.8
apple,Kharif,83,9.5,78.5
chilli,Rabi,33,21.9,60.2
chilli,Rabi,33,8.9,68.3
orange,Zaid,36,17.1,75.9
grapes,Zaid,16,17.7,84.2
cotton,Zaid,569,14.2,57.6
maize,Rabi,208,11.9,88.5
groundnut,Kharif,147,19.5,89.2
chilli,Zaid,29,21.2,59.1
groundnut,Rabi,224,9.3,71.0
wheat,Rabi,196,17.5,76.6
grapes,Rabi,8,19.9,71.1
onion,Zaid,144,11.9,58.9
soybean,Kharif,92,14.8,62.8
soybean,Zaid,95,17.3,69.1
soybean,Zaid,138,24.9,82.2
potato,Rabi,84,18.5,55.3
onion,Kharif,76,12.8,73.5
cotton,Zaid,334,22.9,64.3
orange,Zaid,29,20.2,71.8
sugarcane,Rabi,7,19.0,64.7
sugarcane,Zaid,6,13.2,80.1
groundnut,Rabi,174,14.5,79.8
cotton,Rabi,364,14.9,85.9
orange,Kharif,31,12.5,58.3
soybean,Rabi,142,23.5,60.1
banana,Zaid,7,14.7,60.9
soybean,Rabi,145,25.0,73.7
banana,Rabi,7,21.0,72.1
chilli,Kharif,32,8.7,73.2
chilli,Kharif,27,14.9,62.2
rice,Zaid,243,11.8,69.9
orange,Kharif,56,8.2,64.2
pulses,Kharif,255,22.5,65.0
pulses,Rabi,208,15.9,88.2
orange,Zaid,68,17.4,75.6
sugarcane,Kharif,4,15.2,68.8
onion,Kharif,91,18.7,88.8
maize,Rabi,185,18.6,64.6
apple,Rabi,177,10.1,59.4
brinjal,Rabi,10,24.7,80.1
cauliflower,Rabi,16,20.6,83.0
mango,Zaid,12,21.3,70.7
potato,Rabi,63,21.2,87.4
soybean,Kharif,82,17.5,57.5
tomato,Rabi,10,18.3,65.2
cabbage,Zaid,18,18.6,64.6
onion,Rabi,115,15.6,66.5
pulses,Kharif,185,10.0,81.5
sugarcane,Rabi,6,18.2,85.2
chilli,Rabi,33,23.8,58.4
grapes,Zaid,7,15.2,69.5
wheat,Zaid,188,17.2,86.7
soybean,Zaid,77,24.3,56.3
orange,Rabi,52,24.3,72.0
cotton,Rabi,415,12.0,89.0
cauliflower,Rabi,16,18.7,81.2
cabbage,Rabi,19,10.7,72.6
tomato,Rabi,4,24.9,86.8
cotton,Zaid,323,20.8,63.8
onion,Zaid,158,16.3,73.4
rice,Kharif,243,10.7,76.0
grapes,Rabi,16,12.6,77.1
apple,Rabi,153,17.1,66.7
banana,Zaid,7,11.8,58.9
tomato,Zaid,8,20.8,74.0
grapes,Kharif,14,18.7,74.8
banana,Rabi,7,21.1,57.7
rice,Kharif,232,19.4,86.7
mango,Zaid,10,9.2,82.2
wheat,Rabi,277,21.2,68.5
soybean,Zaid,147,17.4,59.1
orange,Zaid,31,24.4,75.2
cotton,Kharif,396,10.2,83.0
banana,Zaid,7,17.1,79.2
brinjal,Zaid,5,12.2,62.8
tomato,Zaid,7,14.8,65.2
mango,Zaid,21,16.5,66.2
orange,Rabi,61,20.2,83.4
wheat,Zaid,192,9.3,86.0
sugarcane,Zaid,3,23.7,70.7
onion,Rabi,136,14.3,85.5
chilli,Kharif,29,15.6,79.4
cauliflower,Kharif,8,9.1,67.3
maize,Rabi,138,9.9,71.6
chilli,Kharif,24,19.3,73.1
mango,Zaid,8,20.1,56.8
potato,Zaid,54,20.3,74.5
banana,Rabi,7,17.1,56.4
wheat,Rabi,254,20.4,71.1
rice,Rabi,242,24.7,58.6
sugarcane,Kharif,5,20.7,80.3
mango,Zaid,15,10.6,72.0
chilli,Kharif,16,14.1,60.1
rice,Zaid,231,9.9,74.1
onion,Zaid,130,15.0,66.3
potato,Kharif,105,9.3,62.4
brinjal,Kharif,17,17.0,66.2
potato,Rabi,101,12.4,88.5
onion,Zaid,93,18.1,83.4
chilli,Kharif,16,23.3,62.5
maize,Rabi,155,18.3,82.3
cauliflower,Kharif,19,11.1,68.5
banana,Kharif,7,17.6,89.2
potato,Rabi,95,10.5,81.0
wheat,Zaid,156,18.9,62.7
potato,Zaid,104,24.5,63.4
groundnut,Kharif,167,14.7,84.4
pulses,Zaid,200,22.4,87.8
grapes,Kharif,13,24.0,80.1
maize,Rabi,145,14.1,56.1
cotton,Kharif,285,19.2,67.6
onion,Rabi,137,13.1,71.4
tomato,Kharif,6,14.1,81.6
banana,Kharif,7,14.4,67.9
potato,Rabi,110,13.5,89.1
grapes,Rabi,12,14.6,61.9
orange,Zaid,81,9.9,79.8
groundnut,Zaid,147,20.3,57.8
grapes,Kharif,16,20.5,58.5
potato,Kharif,60,24.4,73.6
onion,Rabi,134,24.5,77.1
groundnut,Zaid,133,9.0,70.6
chilli,Zaid,30,12.5,81.1
tomato,Zaid,10,9.6,69.3
cabbage,Kharif,12,15.0,88.6
wheat,Zaid,195,10.4,85.7
potato,Zaid,56,15.5,74.4
grapes,Rabi,9,10.9,57.1
groundnut,Kharif,211,19.3,81.2
wheat,Rabi,234,17.3,76.1
grapes,Zaid,14,21.0,68.9
chilli,Rabi,25,15.0,58.0
grapes,Zaid,18,19.6,69.7
banana,Rabi,7,9.4,78.9
mango,Zaid,22,11.3,74.6
pulses,Kharif,210,10.6,85.0
rice,Kharif,193,19.0,80.4
brinjal,Kharif,13,16.5,64.5
soybean,Kharif,134,20.6,66.0
soybean,Rabi,178,10.0,65.0
apple,Zaid,118,15.0,74.4
apple,Rabi,166,21.6,74.6
mango,Zaid,8,14.2,76.1
mango,Zaid,11,21.1,74.5
soybean,Zaid,77,17.2,61.8
grapes,Kharif,15,13.5,81.0
cotton,Rabi,511,16.4,64.3
pulses,Kharif,313,15.9,86.1
groundnut,Rabi,228,12.6,70.6
potato,Zaid,111,14.4,86.6
mango,Zaid,13,13.0,72.9
onion,Rabi,174,21.0,84.2
sugarcane,Rabi,2,9.0,57.9
rice,Kharif,230,15.5,82.5
potato,Rabi,109,9.5,84.9
cabbage,Zaid,18,18.3,79.4
onion,Zaid,156,16.8,67.9
cauliflower,Rabi,12,18.0,85.8
potato,Kharif,103,22.9,75.1
groundnut,Rabi,235,23.7,56.4
mango,Zaid,19,20.6,87.6
apple,Rabi,57,8.3,58.8
brinjal,Rabi,13,8.6,55.2
wheat,Kharif,261,18.1,68.1
sugarcane,Rabi,4,13.8,87.1
tomato,Kharif,8,8.3,65.9
groundnut,Kharif,187,13.1,75.9
cauliflower,Kharif,20,8.3,57.0
banana,Rabi,7,10.3,66.7
apple,Zaid,80,24.8,56.9
cabbage,Kharif,16,20.9,67.7
banana,Kharif,7,8.2,66.4
maize,Kharif,177,17.4,60.1
chilli,Kharif,32,9.5,58.6
cotton,Zaid,549,23.1,71.7
pulses,Rabi,166,18.4,76.3
brinjal,Zaid,18,22.5,80.6
mango,Zaid,8,10.8,59.8
apple,Rabi,128,21.4,57.6
apple,Zaid,102,10.8,62.9
soybean,Rabi,121,10.3,82.9
sugarcane,Kharif,2,23.8,67.2
rice,Zaid,236,15.3,64.3
wheat,Zaid,172,24.0,77.0
mango,Zaid,12,13.3,89.1
mango,Zaid,15,18.3,84.5
chilli,Kharif,25,18.3,58.7
maize,Rabi,220,19.7,69.2
wheat,Zaid,222,17.8,65.6
cotton,Zaid,556,15.3,57.9
groundnut,Zaid,160,23.3,55.1
brinjal,Rabi,18,8.9,57.3
tomato,Rabi,10,15.6,60.9
sugarcane,Kharif,3,14.0,57.4
orange,Zaid,42,14.4,58.0
banana,Rabi,7,9.9,60.7
cabbage,Zaid,20,21.8,70.9
brinjal,Rabi,12,8.6,60.9
grapes,Kharif,18,24.5,68.1
sugarcane,Rabi,2,24.9,57.0
maize,Kharif,191,19.4,74.3
rice,Kharif,267,23.9,57.7
cotton,Rabi,422,17.6,59.8
grapes,Zaid,15,23.4,68.1
grapes,Zaid,7,21.7,87.0
wheat,Rabi,289,17.8,81.6
rice,Zaid,131,18.5,55.9
mango,Zaid,19,21.7,87.8
cotton,Kharif,396,10.9,67.5
groundnut,Zaid,156,9.0,66.8
maize,Rabi,231,21.2,83.7
cauliflower,Rabi,18,22.5,55.1
apple,Rabi,126,16.8,59.6
chilli,Kharif,27,15.2,67.7
grapes,Kharif,15,21.4,77.1
sugarcane,Kharif,5,23.8,75.2
chilli,Rabi,40,24.4,83.7
soybean,Kharif,78,10.4,60.6
pulses,Kharif,164,13.3,60.9
cauliflower,Rabi,14,14.0,67.3
onion,Kharif,83,22.7,61.9
grapes,Zaid,16,17.6,67.4
cauliflower,Rabi,19,24.3,88.1
sugarcane,Zaid,6,20.5,64.4
wheat,Kharif,296,16.1,82.7
onion,Zaid,115,15.6,75.9
potato,Kharif,61,22.4,60.1
cauliflower,Kharif,19,10.6,79.5
sugarcane,Zaid,4,14.9,72.9
sugarcane,Rabi,7,8.0,89.3
sugarcane,Zaid,6,12.3,69.6
cabbage,Kharif,16,17.9,86.0
cauliflower,Zaid,12,16.1,71.3
cabbage,Kharif,17,15.6,89.7
cotton,Zaid,304,24.2,78.8
mango,Zaid,8,16.8,66.4
brinjal,Rabi,15,22.6,88.5
cabbage,Zaid,26,18.2,70.2
soybean,Rabi,126,16.9,89.6
brinjal,Rabi,10,19.3,74.2
chilli,Rabi,23,18.5,60.1
grapes,Zaid,10,19.0,76.2
pulses,Rabi,244,23.3,74.9
pulses,Zaid,327,22.7,85.6
tomato,Zaid,10,24.1,76.0
cauliflower,Rabi,22,9.0,61.6
pulses,Kharif,179,13.1,82.6
chilli,Rabi,23,17.4,66.4
cotton,Zaid,526,9.5,85.9
pulses,Kharif,158,22.3,63.6
onion,Rabi,142,21.3,55.5
cotton,Kharif,405,10.0,58.2
rice,Kharif,193,8.0,81.6
onion,Rabi,174,21.7,85.7
wheat,Rabi,288,20.5,61.0
cotton,Kharif,529,23.8,87.1
apple,Rabi,139,8.8,60.3
onion,Rabi,158,17.8,89.3
cotton,Kharif,267,10.4,84.1
mango,Zaid,8,22.1,62.2
maize,Zaid,184,17.6,67.2
cabbage,Rabi,17,19.3,89.7
tomato,Zaid,4,18.9,62.1
banana,Rabi,7,12.9,64.2
brinjal,Rabi,19,11.8,65.3
potato,Rabi,85,17.6,80.6
wheat,Rabi,245,18.5,64.4
cabbage,Zaid,24,10.2,86.4
brinjal,Rabi,17,18.4,80.2
pulses,Rabi,356,14.3,65.1
grapes,Rabi,16,9.4,69.1
pulses,Rabi,339,21.0,64.3
sugarcane,Kharif,6,14.9,73.7
sugarcane,Rabi,3,10.4,69.8
apple,Rabi,158,9.6,66.2
rice,Kharif,241,20.6,61.4
potato,Rabi,79,14.7,67.5
onion,Zaid,167,9.7,77.8
onion,Rabi,141,17.9,66.1
tomato,Rabi,4,16.2,89.5
pulses,Zaid,174,14.0,88.1
orange,Rabi,31,15.5,58.2
chilli,Kharif,31,12.4,56.9
cotton,Rabi,520,18.6,59.0
chilli,Kharif,35,14.1,57.1
wheat,Zaid,299,23.4,59.9
potato,Rabi,61,24.8,80.0
chilli,Rabi,40,20.2,73.0
cauliflower,Zaid,10,12.1,73.9
potato,Zaid,101,20.3,59.8
orange,Zaid,31,24.5,81.4
banana,Kharif,7,13.0,61.6
tomato,Kharif,5,21.0,86.2
orange,Kharif,70,8.0,71.9
grapes,Zaid,16,21.0,71.7
potato,Zaid,78,14.5,88.4
orange,Zaid,60,23.0,78.2
maize,Rabi,212,14.5,73.4
brinjal,Kharif,12,24.8,63.0
grapes,Zaid,18,14.5,83.7
cauliflower,Zaid,22,13.9,84.4
mango,Zaid,21,8.4,86.9
grapes,Rabi,13,21.6,69.2
chilli,Kharif,23,18.1,72.9
cotton,Kharif,293,18.2,81.0
onion,Kharif,112,15.9,70.6
potato,Rabi,116,17.0,61.7
cauliflower,Kharif,19,15.6,82.5
grapes,Rabi,10,23.9,56.2
apple,Kharif,156,20.9,85.0
soybean,Zaid,142,9.5,74.6
grapes,Zaid,12,17.7,74.5
cabbage,Zaid,25,11.6,75.1
soybean,Rabi,161,16.3,63.8
soybean,Zaid,130,12.3,71.5
soybean,Zaid,135,13.6,71.6
pulses,Kharif,185,20.5,80.3
rice,Zaid,135,20.9,85.0
tomato,Zaid,11,15.4,85.0
orange,Rabi,86,24.1,60.6
onion,Rabi,174,23.5,77.8
sugarcane,Kharif,6,19.6,57.1
sugarcane,Rabi,6,12.2,56.9
rice,Rabi,183,9.5,79.1
cauliflower,Zaid,12,16.3,69.3
potato,Kharif,85,15.3,69.8
tomato,Rabi,12,19.4,84.6
sugarcane,Kharif,5,15.3,76.9
grapes,Kharif,18,10.1,70.3
cotton,Zaid,544,18.5,62.3
cotton,Zaid,327,9.4,76.5
grapes,Rabi,8,10.7,59.1
wheat,Kharif,166,10.2,59.0
tomato,Kharif,8,20.9,83.9
potato,Kharif,81,8.4,84.8
potato,Kharif,94,23.8,67.9
grapes,Kharif,11,23.0,79.1
cabbage,Rabi,25,21.7,60.8
maize,Zaid,125,8.8,66.4
chilli,Rabi,40,23.3,65.2
apple,Kharif,75,15.5,67.2
wheat,Kharif,185,24.4,67.3
sugarcane,Zaid,6,15.7,57.6
grapes,Kharif,8,13.1,70.1
mango,Zaid,9,9.0,75.8
pulses,Zaid,270,12.8,69.8
chilli,Zaid,21,11.4,85.5
groundnut,Kharif,182,24.5,85.7
wheat,Kharif,238,21.9,81.9
cotton,Rabi,516,17.9,63.4
pulses,Rabi,171,17.5,85.2
mango,Zaid,19,24.8,76.9
chilli,Kharif,23,20.7,71.2
sugarcane,Zaid,4,22.8,62.3
wheat,Kharif,210,14.5,55.2
chilli,Rabi,33,19.5,75.5
sugarcane,Zaid,6,22.2,86.7
groundnut,Zaid,202,16.8,65.6
maize,Zaid,127,23.6,68.8
chilli,Kharif,32,12.9,56.3
mango,Zaid,22,23.9,81.0
potato,Kharif,106,24.7,88.4
onion,Zaid,154,8.9,68.1
pulses,Kharif,286,24.8,62.6
wheat,Zaid,192,24.7,68.4
pulses,Zaid,252,10.9,64.1
wheat,Zaid,277,13.5,82.5
chilli,Rabi,22,13.9,64.2
sugarcane,Zaid,2,12.0,64.9
potato,Rabi,74,15.4,64.7
grapes,Kharif,7,11.0,86.4
cabbage,Rabi,17,12.9,63.7
brinjal,Rabi,8,9.0,77.1
groundnut,Zaid,129,15.1,57.3
groundnut,Zaid,215,18.7,73.6
banana,Kharif,7,17.7,89.8
maize,Kharif,205,17.1,56.4
soybean,Rabi,133,19.3,87.4
brinjal,Kharif,10,18.4,77.3
chilli,Zaid,22,15.5,79.7
cabbage,Zaid,14,12.1,67.4
onion,Zaid,98,16.9,84.1
sugarcane,Kharif,4,20.4,75.8
potato,Zaid,87,23.5,67.2
potato,Kharif,103,10.3,65.4
grapes,Kharif,5,13.6,76.4
apple,Kharif,128,16.2,66.0
wheat,Rabi,325,11.7,68.1
onion,Kharif,148,13.2,86.5
apple,Zaid,128,16.4,86.7
potato,Rabi,61,15.0,79.9
brinjal,Rabi,13,23.5,74.4
mango,Zaid,23,17.7,88.6
potato,Rabi,76,14.4,60.4
orange,Zaid,83,16.2,75.4
cauliflower,Zaid,14,10.3,77.6
grapes,Zaid,10,17.1,67.1
onion,Zaid,164,12.4,74.0
rice,Kharif,158,22.9,82.2
chilli,Kharif,24,10.4,75.6
brinjal,Zaid,11,23.7,79.6
apple,Zaid,59,15.5,71.4
groundnut,Rabi,173,8.7,88.3
onion,Rabi,133,11.5,57.8
chilli,Rabi,24,21.0,76.9
orange,Rabi,53,11.4,83.9
